,,,,,,,,,
County,DEM,REP,BAR,GRN,LIB,WCP,OTH,UNA,TOTAL
Allegany,883,"1,348",0,15,29,1,28,683,"2,987"
Anne Arundel,"12,805","10,911",0,74,313,15,232,"9,056","33,406"
Baltimore City,"17,164","3,065",0,73,176,15,208,"5,505","26,206"
Baltimore County,"19,997","9,322",0,129,319,12,409,"8,488","38,676"
Calvert,"1,758","2,340",0,11,60,2,48,"1,596","5,815"
Caroline,457,531,0,5,7,2,10,301,"1,313"
Carroll,"1,868","3,244",0,16,102,2,75,"1,831","7,138"
Cecil,"1,904","2,167",0,21,60,4,69,"1,591","5,816"
Charles,"5,151","2,353",0,14,71,9,75,"2,243","9,916"
Dorchester,470,337,0,4,3,1,13,245,"1,073"
Frederick,"4,415","4,652",0,36,146,8,67,"3,580","12,904"
Garrett,244,687,0,4,13,0,14,265,"1,227"
Harford,"4,639","4,933",0,38,140,6,138,"3,402","13,296"
Howard,"6,539","3,642",0,28,142,5,136,"3,971","14,463"
Kent,350,315,0,5,6,0,10,176,862
Montgomery,"41,826","13,494",0,227,499,17,653,"18,380","75,096"
Prince George's,"28,318","3,228",0,77,207,24,635,"7,450","39,939"
Queen Anne's,513,925,0,7,22,0,14,505,"1,986"
Saint Mary's,"2,627","2,958",0,17,90,3,61,"1,889","7,645"
Somerset,248,172,0,0,2,0,2,121,545
Talbot,500,558,0,2,18,0,12,356,"1,446"
Washington,"3,616","4,085",0,25,125,8,100,"2,925","10,884"
Wicomico,"1,819","1,400",0,12,60,4,47,"1,150","4,492"
Worcester,992,"1,287",0,8,26,1,37,735,"3,086"
TOTAL,"159,103","77,954",0,848,"2,636",139,"3,093","76,444","320,217"