County,Democrat_2020,Democrat_2024,Democrat_Diff,Republican_2020,Republican_2024,Republican_Diff,Bread_and_Roses_2020,Bread_and_Roses_2024,Bread_and_Roses_Diff,Green_2020,Green_2024,Green_Diff,Libertarian_2020,Libertarian_2024,Libertarian_Diff,Working_Class_Party_2020,Working_Class_Party_2024,Working_Class_Party_Diff,No_Labels_Maryland_2020,No_Labels_Maryland_2024,No_Labels_Maryland_Diff,Other_2020,Other_2024,Other_Diff,Unaffiliated_2020,Unaffiliated_2024,Unaffiliated_Diff
Allegany,794,1186,392,1245,1573,328,0,0,0,14,11,-3,40,27,-13,0,0,0,0,0,0,23,33,10,673,954,281
Anne Arundel,9583,15103,5520,8734,11734,3000,1,0,-1,77,86,9,264,332,68,1,0,-1,0,10,10,113,348,235,6975,11460,4485
Baltimore City,13686,17682,3996,2707,2795,88,0,0,0,84,68,-16,204,138,-66,0,0,0,0,0,0,125,314,189,4710,5853,1143
Baltimore County,17726,16800,-926,8335,8334,-1,3,0,-3,108,105,-3,276,290,14,1,0,-1,0,0,0,233,489,256,6150,8948,2798
Calvert,1092,1817,725,1638,2343,705,0,0,0,12,10,-2,55,68,13,0,0,0,0,0,0,22,67,45,1143,1721,578
Caroline,311,538,227,356,608,252,0,0,0,3,6,3,9,7,-2,0,0,0,0,0,0,10,18,8,276,416,140
Carroll,1655,1983,328,3137,3595,458,1,0,-1,22,8,-14,94,94,0,0,0,0,0,0,0,65,81,16,1676,2061,385
Cecil,2094,1797,-297,2237,1984,-253,0,0,0,21,15,-6,70,54,-16,0,0,0,0,0,0,63,73,10,1734,1572,-162
Charles,4216,5520,1304,2153,2260,107,1,0,-1,16,13,-3,64,80,16,0,0,0,0,0,0,48,102,54,1807,2678,871
Dorchester,504,455,-49,303,338,35,0,0,0,3,2,-1,7,4,-3,0,0,0,0,0,0,8,17,9,220,278,58
Frederick,3764,5584,1820,4227,5518,1291,0,0,0,44,43,-1,136,166,30,0,0,0,0,1,1,28,112,84,3175,4459,1284
Garrett,247,317,70,647,793,146,0,0,0,5,3,-2,7,11,4,0,0,0,0,0,0,13,19,6,261,331,70
Harford,3577,4796,1219,3884,5032,1148,1,0,-1,34,30,-4,130,131,1,0,0,0,0,0,0,86,174,88,2682,3938,1256
Howard,5112,7140,2028,3116,3695,579,2,0,-2,38,26,-12,123,136,13,0,0,0,0,0,0,122,172,50,3259,4349,1090
Kent,336,339,3,268,303,35,0,0,0,3,4,1,8,5,-3,0,0,0,0,0,0,7,16,9,162,193,31
Montgomery,39579,40221,642,13535,12140,-1395,0,0,0,287,177,-110,576,381,-195,0,0,0,0,0,0,552,763,211,19497,19787,290
Prince George's,23485,30103,6618,2836,3433,597,1,0,-1,75,90,15,204,192,-12,0,0,0,0,1,1,508,814,306,6277,8540,2263
Queen Anne's,467,500,33,774,943,169,0,0,0,7,7,0,18,20,2,0,0,0,0,0,0,9,16,7,440,524,84
Saint Mary's,2367,2814,447,2849,2919,70,0,0,0,15,12,-3,107,104,-3,0,0,0,0,3,3,41,114,73,1773,2461,688
Somerset,245,260,15,125,195,70,0,0,0,0,3,3,7,2,-5,0,0,0,0,0,0,5,6,1,121,129,8
Talbot,429,756,327,513,709,196,0,0,0,2,4,2,16,16,0,0,0,0,0,0,0,12,23,11,343,533,190
Washington,2779,4057,1278,3562,4349,787,0,0,0,42,23,-19,127,126,-1,0,0,0,0,0,0,64,175,111,2451,3676,1225
Wicomico,1541,2247,706,1170,1581,411,0,0,0,17,12,-5,60,47,-13,0,0,0,0,0,0,30,85,55,964,1357,393
Worcester,892,960,68,1061,1410,349,0,0,0,7,13,6,23,22,-1,0,0,0,0,0,0,23,35,12,594,833,239
Statewide,136481,162975,26494,69412,78584,9172,10,0,-10,936,771,-165,2625,2453,-172,2,0,-2,0,15,15,2210,4066,1856,67363,87051,19688