 County,Election Day,Early Voting,Vote By Mail,Provisional,Eligible Voters,Turnout Percentage,Party,Year
Allegany,"11,746","9,336","9,010",818,"43,736",70.67,Statewide,2020
Anne Arundel,"39,909","112,351","149,208","10,902","405,616",77.01,Statewide,2020
Baltimore City,"29,561","59,663","138,217","15,128","399,685",60.69,Statewide,2020
Baltimore County,"57,970","133,407","212,962","15,110","566,408",74.05,Statewide,2020
Calvert,"13,427","14,324","21,113",583,"67,984",72.73,Statewide,2020
Caroline,"4,461","7,333","3,656",465,"21,177",75.15,Statewide,2020
Carroll,"27,681","35,414","36,117","1,868","125,361",80.63,Statewide,2020
Cecil,"16,511","15,950","14,213","1,122","68,819",69.45,Statewide,2020
Charles,"11,152","35,695","40,544","3,326","118,302",76.68,Statewide,2020
Dorchester,"3,700","7,308","4,941",214,"22,187",72.85,Statewide,2020
Frederick,"26,729","52,957","63,066","3,864","186,356",78.68,Statewide,2020
Garrett,"2,319","9,364","3,665",370,"20,183",77.88,Statewide,2020
Harford,"26,853","69,434","49,525","4,024","187,092",80.09,Statewide,2020
Howard,"18,400","61,175","99,820","5,282","226,634",81.49,Statewide,2020
Kent,"2,080","4,504","3,947",375,"13,495",80.82,Statewide,2020
Montgomery,"40,628","128,684","348,744","19,879","673,198",79.91,Statewide,2020
Prince George's,"37,970","128,727","240,429","21,028","606,439",70.6,Statewide,2020
Queen Anne's,"4,692","16,046","8,839",911,"37,678",80.92,Statewide,2020
Saint Mary's,"12,738","20,358","21,871","1,155","73,833",76.01,Statewide,2020
Somerset,"2,446","4,802","2,380",644,"13,637",75.32,Statewide,2020
Talbot,"2,888","10,407","9,094",424,"27,994",81.49,Statewide,2020
Washington,"26,957","17,722","21,882","1,741","99,046",68.96,Statewide,2020
Wicomico,"10,612","19,230","15,115","1,764","64,237",72.73,Statewide,2020
Worcester,"7,664","13,182","9,958","1,165","40,665",78.62,Statewide,2020
Allegany,"2,230","2,008","4,406",320,"12,820",69.92,Democrat,2020
Anne Arundel,"11,852","37,418","83,491","5,368","174,494",79.16,Democrat,2020
Baltimore City,"21,777","47,906","116,560","12,030","311,610",63.63,Democrat,2020
Baltimore County,"23,870","63,417","142,484","9,554","313,870",76.25,Democrat,2020
Calvert,"2,755","4,395","11,199",198,"24,587",75.43,Democrat,2020
Caroline,870,"1,818","1,914",174,"6,629",72.05,Democrat,2020
Carroll,"3,988","7,199","15,906",558,"33,662",82.14,Democrat,2020
Cecil,"3,410","4,082","6,873",397,"21,601",68.34,Democrat,2020
Charles,"5,113","20,361","29,733","2,272","72,416",79.37,Democrat,2020
Dorchester,"1,201","2,534","2,968",96,"9,848",69.04,Democrat,2020
Frederick,"6,485","15,816","34,893","1,763","72,487",81.33,Democrat,2020
Garrett,215,"1,262","1,410",93,"3,990",74.69,Democrat,2020
Harford,"6,177","19,809","25,300","1,747","66,258",80.04,Democrat,2020
Howard,"6,359","28,200","62,230","3,088","118,705",84.14,Democrat,2020
Kent,608,"1,682","2,427",168,"6,008",81.31,Democrat,2020
Montgomery,"18,396","70,003","241,085","12,544","410,935",83.23,Democrat,2020
Prince George's,"27,566","102,606","203,637","16,713","474,841",73.82,Democrat,2020
Queen Anne's,821,"3,495","4,211",334,"11,091",79.89,Democrat,2020
Saint Mary's,"3,197","5,443","10,979",449,"26,373",76.09,Democrat,2020
Somerset,779,"1,615","1,367",424,"5,704",73.37,Democrat,2020
Talbot,696,"3,096","4,878",182,"10,749",82.35,Democrat,2020
Washington,"5,676","4,909","11,242",695,"32,791",68.68,Democrat,2020
Wicomico,"3,045","6,787","8,706",900,"27,194",71.48,Democrat,2020
Worcester,"2,057","3,348","5,131",434,"14,134",77.61,Democrat,2020
Allegany,"7,595","6,132","3,316",317,"22,530",77.05,Republican,2020
Anne Arundel,"18,435","53,050","34,312","2,997","135,457",80.32,Republican,2020
Baltimore City,"3,370","5,132","7,069",949,"30,163",54.77,Republican,2020
Baltimore County,"22,334","49,430","37,431","2,972","142,534",78.69,Republican,2020
Calvert,"7,914","7,462","5,791",250,"28,181",76,Republican,2020
Caroline,"2,691","4,381","1,071",188,"10,039",82.99,Republican,2020
Carroll,"18,068","22,164","12,882",880,"63,967",84.41,Republican,2020
Cecil,"9,672","9,053","4,444",483,"30,880",76.59,Republican,2020
Charles,"3,705","10,169","5,303",501,"24,711",79.63,Republican,2020
Dorchester,"1,887","3,938","1,366",79,"8,730",83.28,Republican,2020
Frederick,"13,705","26,536","14,658","1,106","68,767",81.44,Republican,2020
Garrett,"1,747","7,215","1,773",215,"13,318",82.22,Republican,2020
Harford,"14,802","37,716","14,355","1,395","80,038",85.29,Republican,2020
Howard,"7,525","19,487","15,502","1,025","52,748",82.54,Republican,2020
Kent,"1,099","2,120",932,142,"4,996",85.93,Republican,2020
Montgomery,"11,198","30,430","38,188","2,742","105,561",78.21,Republican,2020
Prince George's,"3,727","10,399","10,518","1,169","40,095",64.38,Republican,2020
Queen Anne's,"2,910","9,875","2,954",402,"18,930",85.27,Republican,2020
Saint Mary's,"6,778","11,153","6,560",424,"30,661",81.26,Republican,2020
Somerset,"1,261","2,670",684,140,"5,713",83.23,Republican,2020
Talbot,"1,592","5,701","2,587",165,"11,711",85.77,Republican,2020
Washington,"16,383","9,987","6,466",629,"44,161",75.78,Republican,2020
Wicomico,"5,458","9,456","3,877",537,"23,646",81.74,Republican,2020
Worcester,"4,176","7,679","3,069",492,"18,275",84.36,Republican,2020
Allegany,0,4,6,1,20,55,Bread and Roses,2020
Anne Arundel,10,9,46,8,105,69.52,Bread and Roses,2020
Baltimore City,2,19,48,10,130,60.77,Bread and Roses,2020
Baltimore County,11,13,48,9,134,60.45,Bread and Roses,2020
Calvert,3,1,9,1,20,70,Bread and Roses,2020
Caroline,0,0,1,1,2,100,Bread and Roses,2020
Carroll,2,3,15,1,27,77.78,Bread and Roses,2020
Cecil,2,1,1,0,8,50,Bread and Roses,2020
Charles,1,2,10,3,19,84.21,Bread and Roses,2020
Dorchester,1,0,0,0,4,25,Bread and Roses,2020
Frederick,8,9,23,3,55,78.18,Bread and Roses,2020
Garrett,0,1,0,1,5,40,Bread and Roses,2020
Harford,3,7,23,3,50,72,Bread and Roses,2020
Howard,2,6,30,5,50,86,Bread and Roses,2020
Kent,0,0,2,0,2,100,Bread and Roses,2020
Montgomery,9,16,99,6,174,74.71,Bread and Roses,2020
Prince George's,8,16,52,10,140,61.43,Bread and Roses,2020
Queen Anne's,1,1,0,2,4,100,Bread and Roses,2020
Saint Mary's,2,3,8,3,19,84.21,Bread and Roses,2020
Somerset,0,0,2,0,4,50,Bread and Roses,2020
Talbot,0,0,2,0,4,50,Bread and Roses,2020
Washington,0,5,8,2,24,62.5,Bread and Roses,2020
Wicomico,1,0,4,0,11,45.45,Bread and Roses,2020
Worcester,0,1,0,1,8,25,Bread and Roses,2020
Allegany,10,8,15,0,74,44.59,Green,2020
Anne Arundel,32,84,180,15,564,55.14,Green,2020
Baltimore City,38,63,195,33,802,41.02,Green,2020
Baltimore County,74,90,252,34,898,50.11,Green,2020
Calvert,9,7,26,1,89,48.31,Green,2020
Caroline,3,5,8,1,33,51.52,Green,2020
Carroll,16,17,40,3,155,49.03,Green,2020
Cecil,25,4,18,3,103,48.54,Green,2020
Charles,8,16,23,6,112,47.32,Green,2020
Dorchester,4,2,8,0,19,73.68,Green,2020
Frederick,35,25,71,12,272,52.57,Green,2020
Garrett,0,3,6,1,21,47.62,Green,2020
Harford,28,39,54,8,232,55.6,Green,2020
Howard,13,50,91,4,317,49.84,Green,2020
Kent,4,3,7,0,19,73.68,Green,2020
Montgomery,51,135,376,40,"1,036",58.11,Green,2020
Prince George's,42,59,166,29,707,41.87,Green,2020
Queen Anne's,3,7,7,1,41,43.9,Green,2020
Saint Mary's,9,18,22,4,100,53,Green,2020
Somerset,4,2,4,3,18,72.22,Green,2020
Talbot,4,7,9,0,30,66.67,Green,2020
Washington,17,17,30,0,130,49.23,Green,2020
Wicomico,5,12,22,4,93,46.24,Green,2020
Worcester,6,2,8,2,52,34.62,Green,2020
Allegany,59,26,25,4,204,55.88,Libertarian,2020
Anne Arundel,267,360,562,80,"1,922",66.02,Libertarian,2020
Baltimore City,101,111,199,53,951,48.79,Libertarian,2020
Baltimore County,306,405,585,72,"2,227",61.43,Libertarian,2020
Calvert,63,54,82,7,332,62.05,Libertarian,2020
Caroline,16,17,13,8,86,62.79,Libertarian,2020
Carroll,161,124,160,19,670,69.25,Libertarian,2020
Cecil,91,47,63,6,341,60.7,Libertarian,2020
Charles,51,73,71,11,349,59.03,Libertarian,2020
Dorchester,13,19,17,2,78,65.38,Libertarian,2020
Frederick,180,200,239,27,936,69.02,Libertarian,2020
Garrett,5,34,13,2,86,62.79,Libertarian,2020
Harford,173,274,192,31,966,69.36,Libertarian,2020
Howard,113,179,239,18,812,67.61,Libertarian,2020
Kent,12,17,2,2,50,66,Libertarian,2020
Montgomery,247,367,643,104,"2,030",67.04,Libertarian,2020
Prince George's,107,175,266,53,"1,177",51.06,Libertarian,2020
Queen Anne's,27,62,37,6,188,70.21,Libertarian,2020
Saint Mary's,81,86,76,9,375,67.2,Libertarian,2020
Somerset,16,14,4,2,48,75,Libertarian,2020
Talbot,13,36,20,3,118,61.02,Libertarian,2020
Washington,111,77,89,7,513,55.36,Libertarian,2020
Wicomico,52,67,54,9,312,58.33,Libertarian,2020
Worcester,41,40,31,9,179,67.6,Libertarian,2020
Allegany,3,2,5,2,19,63.16,Working Class Party,2020
Anne Arundel,15,21,81,27,197,73.1,Working Class Party,2020
Baltimore City,25,27,104,28,290,63.45,Working Class Party,2020
Baltimore County,33,27,109,27,297,65.99,Working Class Party,2020
Calvert,7,3,6,0,30,53.33,Working Class Party,2020
Caroline,5,4,4,1,17,82.35,Working Class Party,2020
Carroll,9,3,13,1,38,68.42,Working Class Party,2020
Cecil,9,9,11,3,49,65.31,Working Class Party,2020
Charles,11,11,31,9,83,74.7,Working Class Party,2020
Dorchester,2,0,3,0,12,41.67,Working Class Party,2020
Frederick,15,8,29,5,77,74.03,Working Class Party,2020
Garrett,2,3,1,1,9,77.78,Working Class Party,2020
Harford,13,16,13,10,71,73.24,Working Class Party,2020
Howard,4,9,26,6,58,77.59,Working Class Party,2020
Kent,3,4,4,1,11,109.09,Working Class Party,2020
Montgomery,20,21,118,29,229,82.1,Working Class Party,2020
Prince George's,24,40,119,28,288,73.26,Working Class Party,2020
Queen Anne's,1,4,3,0,11,72.73,Working Class Party,2020
Saint Mary's,5,7,14,5,38,81.58,Working Class Party,2020
Somerset,0,0,1,0,8,12.5,Working Class Party,2020
Talbot,1,4,3,0,12,66.67,Working Class Party,2020
Washington,5,4,13,7,43,67.44,Working Class Party,2020
Wicomico,7,10,5,3,44,56.82,Working Class Party,2020
Worcester,2,0,3,0,12,41.67,Working Class Party,2020
Allegany,77,60,94,5,395,59.75,Other,2020
Anne Arundel,257,511,948,161,"2,715",69.13,Other,2020
Baltimore City,265,286,628,229,"3,289",42.81,Other,2020
Baltimore County,551,"1,104","1,779",123,"5,872",60.58,Other,2020
Calvert,98,85,164,8,567,62.61,Other,2020
Caroline,38,40,23,6,163,65.64,Other,2020
Carroll,193,225,323,13,"1,072",70.34,Other,2020
Cecil,123,131,154,18,727,58.6,Other,2020
Charles,74,146,216,12,763,58.72,Other,2020
Dorchester,23,41,24,1,148,60.14,Other,2020
Frederick,109,123,243,26,801,62.55,Other,2020
Garrett,14,54,39,2,154,70.78,Other,2020
Harford,200,416,383,36,"1,535",67.43,Other,2020
Howard,154,468,727,24,"2,035",67.47,Other,2020
Kent,15,28,34,6,116,71.55,Other,2020
Montgomery,367,839,"2,738",152,"5,816",70.43,Other,2020
Prince George's,541,"1,324","1,994",211,"11,179",36.41,Other,2020
Queen Anne's,36,86,61,5,280,67.14,Other,2020
Saint Mary's,110,132,133,7,606,63.04,Other,2020
Somerset,10,31,15,4,94,63.83,Other,2020
Talbot,20,73,78,5,248,70.97,Other,2020
Washington,150,93,223,15,875,54.97,Other,2020
Wicomico,92,136,122,18,646,56.97,Other,2020
Worcester,55,131,114,16,440,71.82,Other,2020
Allegany,"1,772","1,096","1,143",169,"7,674",54.47,Unaffiliated,2020
Anne Arundel,"9,041","20,898","29,588","2,246","90,162",68.51,Unaffiliated,2020
Baltimore City,"3,983","6,119","13,414","1,796","52,450",48.26,Unaffiliated,2020
Baltimore County,"10,791","18,921","30,274","2,319","100,576",61.95,Unaffiliated,2020
Calvert,"2,578","2,317","3,836",118,"14,178",62.41,Unaffiliated,2020
Caroline,838,"1,068",622,86,"4,208",62.12,Unaffiliated,2020
Carroll,"5,244","5,679","6,778",393,"25,770",70.21,Unaffiliated,2020
Cecil,"3,179","2,623","2,649",212,"15,110",57.33,Unaffiliated,2020
Charles,"2,189","4,917","5,157",512,"19,849",64.36,Unaffiliated,2020
Dorchester,569,774,555,36,"3,348",57.77,Unaffiliated,2020
Frederick,"6,192","10,240","12,910",922,"42,961",70.45,Unaffiliated,2020
Garrett,336,792,423,55,"2,600",61.77,Unaffiliated,2020
Harford,"5,457","11,157","9,205",794,"37,942",70.14,Unaffiliated,2020
Howard,"4,230","12,776","20,975","1,112","51,909",75.31,Unaffiliated,2020
Kent,339,650,539,56,"2,293",69.08,Unaffiliated,2020
Montgomery,"10,340","26,873","65,497","4,262","147,417",72.56,Unaffiliated,2020
Prince George's,"5,955","14,108","23,677","2,815","78,012",59.68,Unaffiliated,2020
Queen Anne's,893,"2,516","1,566",161,"7,133",72,Unaffiliated,2020
Saint Mary's,"2,556","3,516","4,079",254,"15,661",66.44,Unaffiliated,2020
Somerset,376,470,303,71,"2,048",59.57,Unaffiliated,2020
Talbot,562,"1,490","1,517",69,"5,122",71.03,Unaffiliated,2020
Washington,"4,615","2,630","3,811",386,"20,509",55.79,Unaffiliated,2020
Wicomico,"1,952","2,762","2,325",293,"12,291",59.65,Unaffiliated,2020
Worcester,"1,327","1,981","1,602",211,"7,565",67.69,Unaffiliated,2020
Allegany,"15,288","2,305","3,889",535,"43,616",50.48,Statewide,2022
Anne Arundel,"113,571","38,793","60,037","5,914","406,492",53.71,Statewide,2022
Baltimore City,"69,366","22,341","46,946","8,597","395,134",37.27,Statewide,2022
Baltimore County,"135,214","55,691","79,494","7,282","563,463",49.28,Statewide,2022
Calvert,"19,483","8,828","9,003",677,"67,981",55.88,Statewide,2022
Caroline,"7,285","2,045","1,423",128,"21,585",50.41,Statewide,2022
Carroll,"42,989","14,186","14,571","1,135","127,605",57.11,Statewide,2022
Cecil,"20,747","6,237","5,764",637,"70,327",47.47,Statewide,2022
Charles,"29,898","11,872","11,875","1,441","121,087",45.49,Statewide,2022
Dorchester,"7,226","2,045","2,232",164,"22,674",51.46,Statewide,2022
Frederick,"64,066","15,940","25,142","2,588","195,785",55.03,Statewide,2022
Garrett,"7,213","2,387","1,722",158,"20,396",56.29,Statewide,2022
Harford,"61,202","22,478","18,947","1,786","189,160",55.2,Statewide,2022
Howard,"68,097","26,463","34,121","3,057","229,524",57.4,Statewide,2022
Kent,"4,703","1,927","1,804",170,"13,869",62.04,Statewide,2022
Montgomery,"158,641","55,717","118,530","13,879","673,373",51.5,Statewide,2022
Prince George's,"111,256","52,018","68,990","10,735","598,407",40.61,Statewide,2022
Queen Anne's,"12,613","6,266","3,795",437,"39,194",58.97,Statewide,2022
Saint Mary's,"20,875","9,049","7,339",796,"75,342",50.51,Statewide,2022
Somerset,"4,308","1,396","1,110",145,"14,112",49.31,Statewide,2022
Talbot,"8,159","5,243","4,229",241,"28,500",62.71,Statewide,2022
Washington,"31,156","7,362","10,052",915,"99,137",49.92,Statewide,2022
Wicomico,"18,096","6,123","6,063",709,"65,277",47.48,Statewide,2022
Worcester,"14,701","4,162","4,912",492,"42,116",57.62,Statewide,2022
Allegany,"3,365",666,"1,877",213,"11,793",51.9,Democrat,2022
Anne Arundel,"41,882","18,027","35,379","3,046","173,922",56.54,Democrat,2022
Baltimore City,"55,852","19,985","41,411","6,527","303,620",40.77,Democrat,2022
Baltimore County,"66,892","33,281","55,184","4,484","309,297",51.68,Democrat,2022
Calvert,"5,538","3,081","4,853",272,"23,779",57.8,Democrat,2022
Caroline,"1,598",660,694,40,"6,250",47.87,Democrat,2022
Carroll,"8,816","4,024","7,096",353,"33,572",60.43,Democrat,2022
Cecil,"4,813","1,779","2,856",229,"20,666",46.83,Democrat,2022
Charles,"17,442","7,897","8,774",969,"74,373",47.17,Democrat,2022
Dorchester,"2,168",915,"1,370",72,"9,608",47.1,Democrat,2022
Frederick,"21,320","6,696","15,546","1,269","76,712",58.44,Democrat,2022
Garrett,923,475,724,30,"3,719",57.87,Democrat,2022
Harford,"17,283","8,077","9,998",729,"65,127",55.41,Democrat,2022
Howard,"33,160","15,554","23,004","1,814","120,954",60.79,Democrat,2022
Kent,"1,559",992,"1,177",74,"5,865",64.83,Democrat,2022
Montgomery,"95,724","38,599","89,466","9,383","409,636",56.92,Democrat,2022
Prince George's,"89,815","45,659","59,567","8,668","462,097",44.08,Democrat,2022
Queen Anne's,"2,833","1,873","1,971",135,"11,102",61.36,Democrat,2022
Saint Mary's,"5,706","2,722","3,909",360,"25,474",49.84,Democrat,2022
Somerset,"1,334",439,598,77,"5,593",43.77,Democrat,2022
Talbot,"2,374","2,069","2,362",99,"10,803",63.91,Democrat,2022
Washington,"7,680","2,329","5,225",364,"31,402",49.67,Democrat,2022
Wicomico,"5,612","2,716","3,494",336,"26,749",45.45,Democrat,2022
Worcester,"3,880","1,314","2,492",155,"13,864",56.56,Democrat,2022
Allegany,"9,991","1,354","1,512",196,"22,732",57.42,Republican,2022
Anne Arundel,"48,607","14,604","12,687","1,501","129,893",59.59,Republican,2022
Baltimore City,"5,391",896,"1,880",418,"28,211",30.43,Republican,2022
Baltimore County,"45,900","16,091","13,486","1,513","137,378",56.04,Republican,2022
Calvert,"10,116","4,491","2,608",249,"27,912",62.57,Republican,2022
Caroline,"4,589","1,187",494,63,"10,539",60.09,Republican,2022
Carroll,"26,154","8,071","4,970",523,"63,771",62.28,Republican,2022
Cecil,"12,120","3,541","1,979",274,"31,961",56.05,Republican,2022
Charles,"8,021","2,692","1,660",226,"23,334",53.99,Republican,2022
Dorchester,"4,155",944,632,62,"8,965",64.62,Republican,2022
Frederick,"29,313","6,408","5,344",705,"68,334",61.13,Republican,2022
Garrett,"5,593","1,710",836,97,"13,584",60.63,Republican,2022
Harford,"32,962","11,285","5,668",650,"80,005",63.2,Republican,2022
Howard,"19,145","6,038","4,927",499,"49,011",62.45,Republican,2022
Kent,"2,400",674,413,57,"5,221",67.88,Republican,2022
Montgomery,"30,036","8,273","10,705","1,647","97,505",51.96,Republican,2022
Prince George's,"8,301","2,729","3,051",549,"37,739",38.77,Republican,2022
Queen Anne's,"7,505","3,572","1,219",203,"19,579",63.84,Republican,2022
Saint Mary's,"11,305","5,018","2,207",275,"31,793",59.15,Republican,2022
Somerset,"2,474",833,368,52,"6,009",62.02,Republican,2022
Talbot,"4,326","2,458","1,121",80,"11,698",68.26,Republican,2022
