,age_bracket,Gender,County,Party,Count,voted_2024,voted_2020,voted_2016
640,51-64,Female,Prince George's,DEM,69676,52625,53279,49150
641,51-64,Female,Prince George's,OTH,1764,536,537,479
642,51-64,Female,Prince George's,REP,5031,3174,3200,2772
643,51-64,Female,Prince George's,UNA,8408,5073,4973,4250
644,51-64,Female,Queen Anne's,DEM,1578,1325,1252,1147
645,51-64,Female,Queen Anne's,OTH,47,33,33,25
646,51-64,Female,Queen Anne's,REP,2993,2631,2560,2356
647,51-64,Female,Queen Anne's,UNA,981,747,701,606
648,51-64,Female,Saint Mary's,DEM,3426,2722,2665,2459
649,51-64,Female,Saint Mary's,OTH,116,80,68,55
650,51-64,Female,Saint Mary's,REP,4790,4127,3957,3624
651,51-64,Female,Saint Mary's,UNA,1724,1264,1185,1028
652,51-64,Female,Somerset,DEM,750,566,562,495
653,51-64,Female,Somerset,OTH,19,12,11,9
654,51-64,Female,Somerset,REP,856,721,675,631
655,51-64,Female,Somerset,UNA,239,140,129,114
656,51-64,Female,Talbot,DEM,1362,1137,1094,958
657,51-64,Female,Talbot,OTH,38,27,26,23
658,51-64,Female,Talbot,REP,1580,1336,1307,1207
659,51-64,Female,Talbot,UNA,642,475,442,380
660,51-64,Female,Washington,DEM,4105,3124,2972,2779
661,51-64,Female,Washington,OTH,147,90,73,64
662,51-64,Female,Washington,REP,6498,5442,5067,4830
663,51-64,Female,Washington,UNA,2421,1615,1421,1298
664,51-64,Female,Wicomico,DEM,3449,2579,2556,2326
665,51-64,Female,Wicomico,OTH,124,71,68,63
666,51-64,Female,Wicomico,REP,3232,2717,2653,2421
667,51-64,Female,Wicomico,UNA,1406,944,880,769
668,51-64,Female,Worcester,DEM,1829,1429,1370,1221
669,51-64,Female,Worcester,OTH,84,60,55,46
670,51-64,Female,Worcester,REP,2792,2349,2279,2050
671,51-64,Female,Worcester,UNA,987,682,628,519
672,51-64,Male,Allegany,DEM,1004,679,637,582
673,51-64,Male,Allegany,OTH,77,45,42,36
674,51-64,Male,Allegany,REP,3177,2516,2325,2184
675,51-64,Male,Allegany,UNA,848,512,437,413
676,51-64,Male,Anne Arundel,DEM,15450,11825,11697,10257
677,51-64,Male,Anne Arundel,OTH,724,482,437,375
678,51-64,Male,Anne Arundel,REP,19572,15898,15733,14030
679,51-64,Male,Anne Arundel,UNA,11362,8186,7962,6559
680,51-64,Male,Baltimore City,DEM,28191,15469,15866,14538
681,51-64,Male,Baltimore City,OTH,719,273,263,243
682,51-64,Male,Baltimore City,REP,3997,1937,1915,1700
683,51-64,Male,Baltimore City,UNA,5813,2516,2471,2114
684,51-64,Male,Baltimore County,DEM,26825,19733,19848,17889
685,51-64,Male,Baltimore County,OTH,1054,618,580,530
686,51-64,Male,Baltimore County,REP,19623,15590,15105,14075
687,51-64,Male,Baltimore County,UNA,12241,8284,7980,6894
688,51-64,Male,Calvert,DEM,2269,1818,1703,1549
689,51-64,Male,Calvert,OTH,138,98,79,71
690,51-64,Male,Calvert,REP,4411,3812,3376,3321
691,51-64,Male,Calvert,UNA,1757,1341,1179,1080
692,51-64,Male,Caroline,DEM,573,405,385,341
693,51-64,Male,Caroline,OTH,42,24,17,17
694,51-64,Male,Caroline,REP,1562,1310,1242,1121
695,51-64,Male,Caroline,UNA,455,301,300,239
696,51-64,Male,Carroll,DEM,2669,2189,2158,1962
697,51-64,Male,Carroll,OTH,258,173,172,167
698,51-64,Male,Carroll,REP,9635,8288,8209,7586
699,51-64,Male,Carroll,UNA,3276,2509,2447,2152
700,51-64,Male,Cecil,DEM,1914,1274,1148,1023
701,51-64,Male,Cecil,OTH,165,101,90,87
702,51-64,Male,Cecil,REP,5142,4215,3737,3433
703,51-64,Male,Cecil,UNA,1819,1137,995,851
704,51-64,Male,Charles,DEM,8761,6830,6865,5992
705,51-64,Male,Charles,OTH,188,113,111,95
706,51-64,Male,Charles,REP,3778,3010,2975,2643
707,51-64,Male,Charles,UNA,2795,1895,1837,1544
708,51-64,Male,Dorchester,DEM,937,600,579,499
709,51-64,Male,Dorchester,OTH,46,25,22,25
710,51-64,Male,Dorchester,REP,1298,1070,1016,935
711,51-64,Male,Dorchester,UNA,427,253,234,193
712,51-64,Male,Frederick,DEM,6817,5441,5287,4723
713,51-64,Male,Frederick,OTH,344,217,207,176
714,51-64,Male,Frederick,REP,10574,8736,8646,7973
715,51-64,Male,Frederick,UNA,6076,4545,4393,3747
716,51-64,Male,Garrett,DEM,281,204,189,153
717,51-64,Male,Garrett,OTH,36,21,20,14
718,51-64,Male,Garrett,REP,1832,1502,1440,1269
719,51-64,Male,Garrett,UNA,296,198,188,148
720,51-64,Male,Harford,DEM,5804,4467,4516,4011
721,51-64,Male,Harford,OTH,379,241,244,200
722,51-64,Male,Harford,REP,11849,10245,10074,9316
723,51-64,Male,Harford,UNA,4583,3371,3306,2847
724,51-64,Male,Howard,DEM,11017,9100,9064,8164
725,51-64,Male,Howard,OTH,408,267,266,223
726,51-64,Male,Howard,REP,7941,6630,6622,6028
727,51-64,Male,Howard,UNA,7752,6034,5891,4929
728,51-64,Male,Kent,DEM,453,340,309,268
729,51-64,Male,Kent,OTH,27,14,18,16
730,51-64,Male,Kent,REP,718,617,559,493
731,51-64,Male,Kent,UNA,280,188,178,138
732,51-64,Male,Montgomery,DEM,37858,30356,30024,26489
733,51-64,Male,Montgomery,OTH,1174,742,725,576
734,51-64,Male,Montgomery,REP,15642,12090,11897,10461
735,51-64,Male,Montgomery,UNA,21903,15865,15361,12650
736,51-64,Male,Prince George's,DEM,49926,33371,34406,29880
737,51-64,Male,Prince George's,OTH,2047,627,644,540
738,51-64,Male,Prince George's,REP,6107,3608,3534,3041
739,51-64,Male,Prince George's,UNA,10783,6090,6102,4963
740,51-64,Male,Queen Anne's,DEM,966,755,720,627
741,51-64,Male,Queen Anne's,OTH,83,60,50,47
742,51-64,Male,Queen Anne's,REP,3077,2660,2609,2344
743,51-64,Male,Queen Anne's,UNA,1046,789,755,667
744,51-64,Male,Saint Mary's,DEM,2372,1724,1704,1465
745,51-64,Male,Saint Mary's,OTH,138,93,93,78
746,51-64,Male,Saint Mary's,REP,5104,4330,4146,3707
747,51-64,Male,Saint Mary's,UNA,1937,1438,1335,1124
748,51-64,Male,Somerset,DEM,509,315,327,265
749,51-64,Male,Somerset,OTH,25,15,10,11
750,51-64,Male,Somerset,REP,881,736,669,599
751,51-64,Male,Somerset,UNA,262,160,140,119
752,51-64,Male,Talbot,DEM,861,658,622,511
753,51-64,Male,Talbot,OTH,54,32,36,29
754,51-64,Male,Talbot,REP,1506,1273,1196,1093
755,51-64,Male,Talbot,UNA,630,452,411,341
756,51-64,Male,Washington,DEM,2899,2042,1899,1725
757,51-64,Male,Washington,OTH,174,103,83,81
758,51-64,Male,Washington,REP,6738,5485,5041,4843
759,51-64,Male,Washington,UNA,2426,1635,1449,1330
760,51-64,Male,Wicomico,DEM,2437,1584,1532,1300
761,51-64,Male,Wicomico,OTH,121,76,68,57
762,51-64,Male,Wicomico,REP,3192,2620,2487,2257
763,51-64,Male,Wicomico,UNA,1358,865,846,692
764,51-64,Male,Worcester,DEM,1193,821,825,713
765,51-64,Male,Worcester,OTH,110,71,57,52
766,51-64,Male,Worcester,REP,2965,2383,2295,2041
767,51-64,Male,Worcester,UNA,1025,702,639,536
768,65+,Female,Allegany,DEM,2493,1890,1899,1833
769,65+,Female,Allegany,OTH,60,38,41,38
770,65+,Female,Allegany,REP,4380,3610,3577,3514
771,65+,Female,Allegany,UNA,690,484,440,405
772,65+,Female,Anne Arundel,DEM,27854,22880,23079,21501
773,65+,Female,Anne Arundel,OTH,443,299,303,267
774,65+,Female,Anne Arundel,REP,19462,16001,16443,15552
775,65+,Female,Anne Arundel,UNA,7679,5782,5721,4942
776,65+,Female,Baltimore City,DEM,45653,31340,33409,32889
777,65+,Female,Baltimore City,OTH,268,129,128,132
778,65+,Female,Baltimore City,REP,3393,2035,2164,2024
779,65+,Female,Baltimore City,UNA,2761,1378,1441,1265
780,65+,Female,Baltimore County,DEM,53370,43563,44990,43131
781,65+,Female,Baltimore County,OTH,878,605,658,609
782,65+,Female,Baltimore County,REP,24366,20060,20661,19891
783,65+,Female,Baltimore County,UNA,8621,6072,6125,5427
784,65+,Female,Calvert,DEM,4258,3600,3522,3340
785,65+,Female,Calvert,OTH,73,50,51,50
786,65+,Female,Calvert,REP,3711,3156,3012,2995
787,65+,Female,Calvert,UNA,1109,865,784,727
788,65+,Female,Caroline,DEM,1227,945,971,920
789,65+,Female,Caroline,OTH,24,19,18,17
790,65+,Female,Caroline,REP,1528,1343,1350,1236
791,65+,Female,Caroline,UNA,388,279,283,233
792,65+,Female,Carroll,DEM,6247,5246,5318,4993
793,65+,Female,Carroll,OTH,150,107,113,113
794,65+,Female,Carroll,REP,9522,8239,8357,8071
795,65+,Female,Carroll,UNA,2242,1687,1675,1466
796,65+,Female,Cecil,DEM,3668,2765,2697,2534
797,65+,Female,Cecil,OTH,96,67,65,62
798,65+,Female,Cecil,REP,4755,4000,3784,3627
799,65+,Female,Cecil,UNA,1298,918,840,743
800,65+,Female,Charles,DEM,9536,7601,7769,7227
801,65+,Female,Charles,OTH,90,50,52,49
802,65+,Female,Charles,REP,3584,2906,2974,2834
803,65+,Female,Charles,UNA,1361,923,916,809
804,65+,Female,Dorchester,DEM,2024,1585,1616,1543
805,65+,Female,Dorchester,OTH,28,19,20,18
806,65+,Female,Dorchester,REP,1669,1467,1452,1380
807,65+,Female,Dorchester,UNA,380,268,249,213
808,65+,Female,Frederick,DEM,11858,9844,9728,9104
809,65+,Female,Frederick,OTH,169,118,117,96
810,65+,Female,Frederick,REP,9841,8183,8166,7854
811,65+,Female,Frederick,UNA,3779,2813,2734,2428
812,65+,Female,Garrett,DEM,931,739,729,674
813,65+,Female,Garrett,OTH,32,26,26,27
814,65+,Female,Garrett,REP,2323,1970,1995,1855
815,65+,Female,Garrett,UNA,252,200,179,139
816,65+,Female,Harford,DEM,10982,9097,9284,8722
817,65+,Female,Harford,OTH,265,189,182,177
818,65+,Female,Harford,REP,12572,10982,11114,10647
819,65+,Female,Harford,UNA,3230,2517,2486,2172
820,65+,Female,Howard,DEM,17534,14704,14875,14155
821,65+,Female,Howard,OTH,287,199,206,194
822,65+,Female,Howard,REP,7173,5859,6042,5802
823,65+,Female,Howard,UNA,4516,3348,3316,2890
824,65+,Female,Kent,DEM,1684,1472,1426,1300
825,65+,Female,Kent,OTH,29,18,19,14
826,65+,Female,Kent,REP,1061,915,896,827
827,65+,Female,Kent,UNA,362,276,263,223
828,65+,Female,Montgomery,DEM,68923,56496,56704,53326
829,65+,Female,Montgomery,OTH,953,577,633,537
830,65+,Female,Montgomery,REP,17050,12795,13250,12368
831,65+,Female,Montgomery,UNA,15926,10666,10937,9451
832,65+,Female,Prince George's,DEM,76584,57138,59749,57209
833,65+,Female,Prince George's,OTH,1477,514,569,544
834,65+,Female,Prince George's,REP,6850,4421,4787,4534
835,65+,Female,Prince George's,UNA,5538,3297,3449,2977
836,65+,Female,Queen Anne's,DEM,2591,2184,2099,1986
837,65+,Female,Queen Anne's,OTH,55,43,39,38
838,65+,Female,Queen Anne's,REP,3037,2627,2618,2454
839,65+,Female,Queen Anne's,UNA,771,612,557,486
840,65+,Female,Saint Mary's,DEM,4058,3230,3309,3111
841,65+,Female,Saint Mary's,OTH,81,54,50,45
842,65+,Female,Saint Mary's,REP,3848,3274,3216,3058
843,65+,Female,Saint Mary's,UNA,1076,777,740,632
844,65+,Female,Somerset,DEM,1099,859,900,825
845,65+,Female,Somerset,OTH,29,20,20,19
846,65+,Female,Somerset,REP,1114,956,950,896
847,65+,Female,Somerset,UNA,215,154,144,113
848,65+,Female,Talbot,DEM,3042,2580,2558,2339
849,65+,Female,Talbot,OTH,64,44,45,42
850,65+,Female,Talbot,REP,2627,2220,2254,2148
851,65+,Female,Talbot,UNA,870,677,634,560
852,65+,Female,Washington,DEM,5524,4367,4287,4120
853,65+,Female,Washington,OTH,120,80,77,73
854,65+,Female,Washington,REP,7246,6118,5947,5839
855,65+,Female,Washington,UNA,1785,1257,1193,1100
856,65+,Female,Wicomico,DEM,4904,3872,3975,3759
857,65+,Female,Wicomico,OTH,87,55,59,50
858,65+,Female,Wicomico,REP,4184,3557,3589,3384
859,65+,Female,Wicomico,UNA,1158,822,789,718
860,65+,Female,Worcester,DEM,3620,2919,2917,2761
861,65+,Female,Worcester,OTH,112,88,86,78
862,65+,Female,Worcester,REP,3983,3327,3340,3128
863,65+,Female,Worcester,UNA,1075,811,790,688
864,65+,Male,Allegany,DEM,1606,1272,1235,1196
865,65+,Male,Allegany,OTH,67,46,45,47
866,65+,Male,Allegany,REP,3690,3205,3033,2965
867,65+,Male,Allegany,UNA,762,571,539,487
868,65+,Male,Anne Arundel,DEM,18014,14613,14807,13710
869,65+,Male,Anne Arundel,OTH,449,302,312,273
870,65+,Male,Anne Arundel,REP,18261,15278,15511,14489
871,65+,Male,Anne Arundel,UNA,8214,6363,6406,5565
872,65+,Male,Baltimore City,DEM,29366,18291,19120,18110
873,65+,Male,Baltimore City,OTH,328,162,156,159
874,65+,Male,Baltimore City,REP,3513,2074,2082,1960
875,65+,Male,Baltimore City,UNA,3482,1727,1760,1565
876,65+,Male,Baltimore County,DEM,33382,27355,27790,26210
877,65+,Male,Baltimore County,OTH,888,635,635,591
878,65+,Male,Baltimore County,REP,21680,18178,18314,17516
879,65+,Male,Baltimore County,UNA,9358,6918,6929,6145
880,65+,Male,Calvert,DEM,2872,2390,2312,2191
881,65+,Male,Calvert,OTH,95,70,70,64
882,65+,Male,Calvert,REP,3549,3106,2892,2901
883,65+,Male,Calvert,UNA,1258,1021,934,882
884,65+,Male,Caroline,DEM,865,698,702,635
885,65+,Male,Caroline,OTH,20,14,16,16
886,65+,Male,Caroline,REP,1448,1275,1260,1172
887,65+,Male,Caroline,UNA,347,257,255,213
888,65+,Male,Carroll,DEM,4055,3472,3506,3283
889,65+,Male,Carroll,OTH,187,148,148,140
890,65+,Male,Carroll,REP,8542,7569,7594,7225
891,65+,Male,Carroll,UNA,2287,1873,1857,1673
892,65+,Male,Cecil,DEM,2560,1947,1835,1758
893,65+,Male,Cecil,OTH,110,74,70,68
894,65+,Male,Cecil,REP,4433,3843,3542,3375
895,65+,Male,Cecil,UNA,1353,1021,897,814
896,65+,Male,Charles,DEM,6050,4793,4893,4463
897,65+,Male,Charles,OTH,130,94,93,84
898,65+,Male,Charles,REP,3461,2851,2880,2763
899,65+,Male,Charles,UNA,1566,1152,1154,995
900,65+,Male,Dorchester,DEM,1391,1057,1052,940
901,65+,Male,Dorchester,OTH,28,20,21,18
902,65+,Male,Dorchester,REP,1619,1438,1380,1301
903,65+,Male,Dorchester,UNA,406,300,271,237
904,65+,Male,Frederick,DEM,7536,6358,6176,5760
905,65+,Male,Frederick,OTH,155,109,101,85
906,65+,Male,Frederick,REP,9347,7911,7901,7624
907,65+,Male,Frederick,UNA,4025,3148,3047,2717
908,65+,Male,Garrett,DEM,636,530,513,461
909,65+,Male,Garrett,OTH,30,23,22,22
910,65+,Male,Garrett,REP,2118,1839,1819,1684
911,65+,Male,Garrett,UNA,307,245,223,202
912,65+,Male,Harford,DEM,7129,5986,6078,5652
913,65+,Male,Harford,OTH,225,181,180,159
914,65+,Male,Harford,REP,11282,10069,10097,9649
915,65+,Male,Harford,UNA,3436,2858,2801,2518
916,65+,Male,Howard,DEM,11838,9980,10142,9674
917,65+,Male,Howard,OTH,304,219,222,217
918,65+,Male,Howard,REP,7292,6187,6326,6009
919,65+,Male,Howard,UNA,5233,4076,4055,3634
920,65+,Male,Kent,DEM,1102,948,899,806
921,65+,Male,Kent,OTH,24,18,17,17
922,65+,Male,Kent,REP,1026,913,886,799
923,65+,Male,Kent,UNA,372,300,265,220
924,65+,Male,Montgomery,DEM,46704,38544,38695,36173
925,65+,Male,Montgomery,OTH,916,581,625,571
926,65+,Male,Montgomery,REP,16874,13118,13413,12541
927,65+,Male,Montgomery,UNA,17789,12652,12844,11264
928,65+,Male,Prince George's,DEM,49568,34838,36500,33926
929,65+,Male,Prince George's,OTH,1703,583,649,602
930,65+,Male,Prince George's,REP,6690,4306,4559,4300
931,65+,Male,Prince George's,UNA,6504,4017,4184,3682
932,65+,Male,Queen Anne's,DEM,1733,1463,1397,1288
933,65+,Male,Queen Anne's,OTH,57,41,41,36
934,65+,Male,Queen Anne's,REP,3014,2648,2604,2456
935,65+,Male,Queen Anne's,UNA,898,735,671,597
936,65+,Male,Saint Mary's,DEM,2912,2355,2318,2195
937,65+,Male,Saint Mary's,OTH,82,64,57,50
938,65+,Male,Saint Mary's,REP,3848,3351,3261,3079
939,65+,Male,Saint Mary's,UNA,1135,884,851,749
940,65+,Male,Somerset,DEM,766,564,576,531
941,65+,Male,Somerset,OTH,19,11,11,10
942,65+,Male,Somerset,REP,1059,919,893,825
943,65+,Male,Somerset,UNA,264,184,175,139
944,65+,Male,Talbot,DEM,1891,1638,1570,1399
945,65+,Male,Talbot,OTH,53,39,41,37
946,65+,Male,Talbot,REP,2358,2051,2023,1889
947,65+,Male,Talbot,UNA,921,756,712,597
948,65+,Male,Washington,DEM,3689,2960,2841,2752
949,65+,Male,Washington,OTH,118,75,75,70
950,65+,Male,Washington,REP,6477,5601,5333,5261
951,65+,Male,Washington,UNA,1847,1402,1311,1214
952,65+,Male,Wicomico,DEM,3188,2461,2499,2274
953,65+,Male,Wicomico,OTH,89,57,63,62
954,65+,Male,Wicomico,REP,3695,3215,3174,3000
955,65+,Male,Wicomico,UNA,1153,860,812,715
956,65+,Male,Worcester,DEM,2287,1821,1823,1627
957,65+,Male,Worcester,OTH,110,83,78,72
958,65+,Male,Worcester,REP,3691,3126,3126,2844
959,65+,Male,Worcester,UNA,1200,914,914,806
